name,country,subcountry,geonameid,city_name,country_name,latitude,longitude,population,has_bike_sharing,climate_zone,region,data_source,city_size
les Escaldes,Andorra,Escaldes-Engordany,3040051,les Escaldes,Andorra,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Andorra la Vella,Andorra,Andorra la Vella,3041563,Andorra la Vella,Andorra,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Warīsān,United Arab Emirates,Dubai,290503,Warīsān,United Arab Emirates,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Umm Suqaym,United Arab Emirates,Dubai,290581,Umm Suqaym,United Arab Emirates,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Umm Al Quwain City,United Arab Emirates,Imarat Umm al Qaywayn,290594,Umm Al Quwain City,United Arab Emirates,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Ţarīf Kalbā,United Arab Emirates,Fujairah,290680,Ţarīf Kalbā,United Arab Emirates,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Ar Rāshidīyah,United Arab Emirates,Dubai,291061,Ar Rāshidīyah,United Arab Emirates,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Ras Al Khaimah City,United Arab Emirates,Imarat Ra's al Khaymah,291074,Ras Al Khaimah City,United Arab Emirates,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Zayed City,United Arab Emirates,Abu Dhabi,291580,Zayed City,United Arab Emirates,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Khawr Fakkān,United Arab Emirates,Sharjah,291696,Khawr Fakkān,United Arab Emirates,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Kalbā,United Arab Emirates,Sharjah,291763,Kalbā,United Arab Emirates,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Jumayrā,United Arab Emirates,Dubai,291775,Jumayrā,United Arab Emirates,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Dubai,United Arab Emirates,Dubai,292223,Dubai,United Arab Emirates,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Dibba Al-Fujairah,United Arab Emirates,Fujairah,292231,Dibba Al-Fujairah,United Arab Emirates,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Dibba Al-Hisn,United Arab Emirates,Fujairah,292239,Dibba Al-Hisn,United Arab Emirates,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Dayrah,United Arab Emirates,Dubai,292261,Dayrah,United Arab Emirates,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Sharjah,United Arab Emirates,Sharjah,292672,Sharjah,United Arab Emirates,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Ar Ruways,United Arab Emirates,Abu Dhabi,292688,Ar Ruways,United Arab Emirates,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Ḩattā,United Arab Emirates,Dubai,292862,Ḩattā,United Arab Emirates,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Al Fujairah City,United Arab Emirates,Fujairah,292878,Al Fujairah City,United Arab Emirates,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Al Ain City,United Arab Emirates,Abu Dhabi,292913,Al Ain City,United Arab Emirates,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Ajman City,United Arab Emirates,Ajman,292932,Ajman City,United Arab Emirates,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
Adh Dhayd,United Arab Emirates,Sharjah,292953,Adh Dhayd,United Arab Emirates,0,0,1000000,FALSE,Tropical,Other,Enhanced Global Cities,Large
