dt,weather,visibility,pop,dt_txt,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.sea_level,main.grnd_level,main.humidity,main.temp_kf,clouds.all,wind.speed,wind.deg,wind.gust,sys.pod,rain.3h,city,country_code,lat,lon
1749384000,,10000,0,2025-06-08 12:00:00,22.76,23.26,22.76,24.45,1008,1008,999,83,-1.69,0,2.17,262,3.46,n,NA,Seoul,KR,37.5683,126.9778
1749394800,,10000,0,2025-06-08 15:00:00,22.8,23.2,22.8,22.89,1008,1008,1000,79,-0.09,25,1.97,213,3.14,n,NA,Seoul,KR,37.5683,126.9778
1749405600,,10000,0,2025-06-08 18:00:00,21.84,22.3,21.38,21.84,1009,1009,999,85,0.46,57,1.43,210,2.49,n,NA,Seoul,KR,37.5683,126.9778
1749416400,,10000,0.2,2025-06-08 21:00:00,21.88,22.03,21.88,21.88,1009,1009,999,73,0,100,1.45,198,2.01,d,0.11,Seoul,KR,37.5683,126.9778
1749427200,,10000,0,2025-06-09 00:00:00,23.92,24.06,23.92,23.92,1009,1009,999,65,0,100,1.43,169,1.9,d,NA,Seoul,KR,37.5683,126.9778
1749438000,,10000,0,2025-06-09 03:00:00,27.86,27.42,27.86,27.86,1007,1007,998,38,0,95,2.23,208,1.85,d,NA,Seoul,KR,37.5683,126.9778
1749448800,,10000,0,2025-06-09 06:00:00,29.87,28.56,29.87,29.87,1006,1006,996,29,0,73,4.42,243,2.77,d,NA,Seoul,KR,37.5683,126.9778
1749459600,,10000,0,2025-06-09 09:00:00,27.72,27.04,27.72,27.72,1005,1005,996,33,0,21,4.31,246,3.48,d,NA,Seoul,KR,37.5683,126.9778
1749470400,,10000,0,2025-06-09 12:00:00,23.3,23.02,23.3,23.3,1007,1007,997,51,0,42,1.97,246,2.89,n,NA,Seoul,KR,37.5683,126.9778
1749481200,,10000,0,2025-06-09 15:00:00,21.51,21.31,21.51,21.51,1008,1008,998,61,0,17,1.84,234,2.75,n,NA,Seoul,KR,37.5683,126.9778
1749492000,,10000,0,2025-06-09 18:00:00,19.99,20.16,19.99,19.99,1008,1008,998,81,0,59,0.86,206,1.34,n,NA,Seoul,KR,37.5683,126.9778
1749502800,,10000,0,2025-06-09 21:00:00,20.22,20.44,20.22,20.22,1007,1007,998,82,0,99,1.24,195,2.44,d,NA,Seoul,KR,37.5683,126.9778
