date,hour,temperature_c,humidity_percent,wind_speed_ms,wind_speed_kmh,visibility_km,dew_point_temperature_c,solar_radiation_mj_m2,rainfall_mm,snowfall_cm,rented_bike_count,seasons,holiday,functioning_day,data_source
14/02/2025,0,4.582641873359716,56.741666895603544,1.0100268702029007,3.6,14.8,-4.069024747519576,0,0,0,0,Winter,No Holiday,Yes,Generated Seoul Data
14/02/2025,1,8.921981412515134,71.46817257254158,2.7434817699377354,9.9,7.9,3.215615927023449,0,2,0,3,Winter,No Holiday,Yes,Generated Seoul Data
14/02/2025,2,8.700261844335666,84.7232787470356,3.1748840265627396,11.4,14.9,5.644917593742784,0,0,0,0,Winter,No Holiday,Yes,Generated Seoul Data
14/02/2025,3,7.546519458299141,47.70422071276715,2.812407827543921,10.1,10,-2.912636399147429,0,0,0,0,Winter,No Holiday,Yes,Generated Seoul Data
14/02/2025,4,4.928793958978534,58.596626507618076,4.82754471949631,17.4,16.4,-3.351880739497852,0,2,0,0,Winter,No Holiday,Yes,Generated Seoul Data
14/02/2025,5,8.38037585567346,50.157378371539,2.2796287673634716,8.2,16.6,-1.5881484700187407,0,0,0,0,Winter,No Holiday,Yes,Generated Seoul Data
14/02/2025,6,9.06936562362054,34.914927218032034,3.1854089670703223,11.5,15.1,-3.9476489327730544,0,0,0,82,Winter,No Holiday,Yes,Generated Seoul Data
14/02/2025,7,5.6856271159954606,57.34346644319355,3.119373509848099,11.2,11.1,-2.84567959536583,0.5694018992255456,0,1,255,Winter,No Holiday,Yes,Generated Seoul Data
14/02/2025,8,7.989145113489219,42.13614493661475,3.790977832588695,13.6,15.2,-3.5836258991878314,1.0999999999999999,1,0,206,Winter,No Holiday,Yes,Generated Seoul Data
14/02/2025,9,4.109649986551155,58.08443022159044,5.323438007892378,19.2,15.2,-4.273463969130757,1.5556349186104046,0,1,236,Winter,No Holiday,Yes,Generated Seoul Data
